bowler_name,bowler_id,overs,maidens,runs,wides,wickets,no_balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,initial_name,balls,0
Rishy M,5340615,3,2.0,1.0,0.0,0,0.0,Soho Cricket Collective - Friendly XI,207493.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074449,R M,18.0,
Freddie Ventham,5552337,1,0.0,3.0,0.0,0,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Soho Cricket Collective - Friendly XI,207493.0,2.0,7074449,F Ventham,6.0,
Callum Wilson,5497375,1,0.0,5.0,0.0,0,1.0,Ley Hill CC - 1st XI,54824.0,Ickleford CC - 2nd XI,58647.0,2.0,6803474,C Wilson,6.0,
J Hirst,,5,4.0,5.0,0.0,0,0.0,Soho Cricket Collective - Friendly XI,207493.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074449,J Hirst,30.0,
Oliver Andrews,451346,1.1,0.0,9.0,0.0,0,0.0,Shenley Village CC - 3rd XI,66192.0,Ley Hill CC - 1st XI,54824.0,1.0,6803489,O Andrews,7.0,
Dave Gwynn-Costello,6227856,3,0.0,10.0,0.0,0,0.0,Ley Hill CC - 2nd XI,119465.0,Harpenden CC - 6th XI,116317.0,1.0,6804665,D Gwynn-Costello,18.0,
Atiksh X,,2,0.0,16.0,0.0,0,1.0,Chesham Bois CC - Friendly XI,39794.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074453,A X,12.0,
Michael Bodo,41185,2.0,0.0,17.0,0.0,0,0.0,Flitwick CC - 3rd XI,20669.0,Ley Hill CC - 1st XI,54824.0,2.0,6803476,M Bodo,12.0,
Mohamed Shakir Badurdeen,5378398,8,1.0,18.0,2.0,0,1.0,West Herts CC - 6th XI,302557.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804671,MS Badurdeen,48.0,
Rikin Patel,,2,0.0,19.0,0.0,0,0.0,Goodwill Wanderers CC - Friendly XI,192284.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074455,R Patel,12.0,
Raheel Khan,5402781,4,0.0,19.0,5.0,0,0.0,Ley Hill CC - 1st XI,54824.0,Watton-at-Stone CC - 1st XI,159131.0,2.0,6803484,R Khan,24.0,
Leo Chan,5299621,3,0.0,20.0,3.0,0,0.0,Ickleford CC - 2nd XI,58647.0,Ley Hill CC - 1st XI,54824.0,1.0,6803474,L Chan,18.0,
Dhruv Singh,6176279,3,0.0,20.0,2.0,0,0.0,West Herts CC - 6th XI,302557.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804671,D Singh,18.0,
Hunmbal Khan,6175670,4,0.0,20.0,0.0,0,1.0,Berkhamsted CC - Saturday 4th XI,76555.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804661,H Khan,24.0,
