position,batsman_name,batsman_id,how_out,fielder_name,fielder_id,bowler_name,bowler_id,runs,fours,sixes,balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,not_out,initial_name
10,Karthik X,,ct,Unsure,,Joe Yerrell,6044911,33,6,1,25,Chesham Bois CC - Friendly XI,39794,Ley Hill CC - Sunday 1st XI,216373,2,7074453,0.0,K X
3,Yusuf Khan,4940735,ct,Unsure,,D Synge,3644650,32,7,0,26,Ley Hill CC - Sunday 1st XI,216373,Chelsea Nomads CC - 1st XI,196012,1,7074454,0.0,Y Khan
4,Harry Chan,5190613,b,,,Jack Thompson,1790577,32,4,1,33,Ickleford CC - 2nd XI,58647,Ley Hill CC - 1st XI,54824,2,6803474,0.0,H Chan
6,Mark Schumann,15786,ct,Rob Leybourne,5363547,Joe Yerrell,6044911,32,4,0,34,Ickleford CC - 2nd XI,58647,Ley Hill CC - 1st XI,54824,2,6803474,0.0,M Schumann
10,Chris Morris,3846114,not out,,,,,32,4,1,47,Ley Hill CC - 1st XI,54824,Watton-at-Stone CC - 1st XI,159131,1,6803484,1.0,C Morris
4,Henry Sussum,4981247,ct,Karthik X,,Karthik X,,31,3,2,16,Ley Hill CC - Sunday 1st XI,216373,Chesham Bois CC - Friendly XI,39794,1,7074453,0.0,H Sussum
1,M Sisley,3644645,b,,,Edward Pike,6676091,31,3,2,31,Chelsea Nomads CC - 1st XI,196012,Ley Hill CC - Sunday 1st XI,216373,2,7074454,0.0,M Sisley
6,Ben Woodbridge,1686030,b,,,Unsure,,30,0,0,0,Ley Hill CC - 1st XI,54824,Shenley Village CC - 3rd XI,66192,1,6803489,0.0,B Woodbridge
6,Matt Gurney,663626,b,,,Joe Yerrell,6044911,29,4,0,22,Flitwick CC - 3rd XI,20669,Ley Hill CC - 1st XI,54824,1,6803476,0.0,M Gurney
6,Jon Humphreys,4944051,b,,,Simon Atkins,5805057,29,5,0,38,Ley Hill CC - 2nd XI,119465,Berkhamsted CC - Saturday 4th XI,76555,2,6804661,0.0,J Humphreys
9,Ted Sussum,4951412,lbw,,,Adam Gundy,5900485,29,3,0,39,Ley Hill CC - 1st XI,54824,Watton-at-Stone CC - 1st XI,159131,1,6803484,0.0,T Sussum
1,Luke Bell,4399956,ct,Unsure,,Alastair Gerrard,6240991,28,4,0,37,Ley Hill CC - 2nd XI,119465,Berkhamsted CC - Saturday 4th XI,76555,2,6804661,0.0,L Bell
2,Jon Lown,5902299,ct,E Patel,6660032,K Patel,6682063,28,2,0,69,Ley Hill CC - Sunday 1st XI,216373,Goodwill Wanderers CC - Friendly XI,192284,1,7074455,0.0,J Lown
8,Craig Ottaway,5499462,b,,,Unsure,,27,0,0,0,Ley Hill CC - 1st XI,54824,Shenley Village CC - 3rd XI,66192,1,6803489,0.0,C Ottaway
7,James Dermont,5891019,st,Yusuf Khan,4940735,Joe Yerrell,6044911,27,5,0,43,Ickleford CC - 2nd XI,58647,Ley Hill CC - 1st XI,54824,2,6803474,0.0,J Dermont
7,Ben Woodbridge,1686030,b,,,Aarav Dahiya,4933836,27,2,0,47,Ley Hill CC - 1st XI,54824,Flitwick CC - 3rd XI,20669,2,6803476,0.0,B Woodbridge
1,Raheel Khan,5402781,ct,Matthew Pateman,13681,Matthew Pateman,13681,27,4,0,48,Ley Hill CC - 1st XI,54824,Flitwick CC - 3rd XI,20669,2,6803476,0.0,R Khan
1,Andy Elledge,710270,ct,Alastair Rowe,4952492,Jon Humphreys,4944051,26,0,0,0,Harpenden CC - 6th XI,116317,Ley Hill CC - 2nd XI,119465,1,6804665,0.0,A Elledge
4,Justin Hutchins,3570739,lbw,,,Richard Peareth,5335234,26,3,2,30,Ley Hill CC - 1st XI,54824,Ickleford CC - 2nd XI,58647,1,6803474,0.0,J Hutchins
2,Muhammad Rafiq,6212842,ct,Sam Martin,4976658,Dave Gwynn-Costello,6227856,26,4,0,33,West Herts CC - 6th XI,302557,Ley Hill CC - 2nd XI,119465,1,6804671,0.0,M Rafiq
9,Scott Peterson,5483704,not out,,,,,25,0,0,0,Ley Hill CC - 1st XI,54824,Shenley Village CC - 3rd XI,66192,1,6803489,1.0,S Peterson
3,Max Lee,1809919,ct,Vinay Kandula,6674711,Ciaran Woodcock,5029510,25,2,0,44,Ley Hill CC - 1st XI,54824,Shenley Village CC - 3rd XI,66192,1,6803489,0.0,M Lee
6,Iain Stewart,5852381,ct,Unsure,,D Synge,3644650,23,3,0,34,Ley Hill CC - Sunday 1st XI,216373,Chelsea Nomads CC - 1st XI,196012,1,7074454,0.0,I Stewart
1,Viral Bhavsar,5974971,not out,,,,,22,0,0,0,Ley Hill CC - 2nd XI,119465,"Northwood Town CC, Middlesex - 4th XI",277347,1,6804656,1.0,V Bhavsar
5,Sam Martin,4976658,not out,,,,,22,0,0,0,Ley Hill CC - 2nd XI,119465,"Northwood Town CC, Middlesex - 4th XI",277347,1,6804656,1.0,S Martin
7,Geoffrey Sussum,4951380,b,,,N Wherry,,22,3,1,17,Ley Hill CC - Sunday 1st XI,216373,Chelsea Nomads CC - 1st XI,196012,1,7074454,0.0,G Sussum
7,Mohamed Asran Ameen,5104857,b,,,Viral Bhavsar,5974971,22,2,0,30,West Herts CC - 6th XI,302557,Ley Hill CC - 2nd XI,119465,1,6804671,0.0,MA Ameen
4,Max Lee,1809919,ct,Unsure,,David Kiddie,5582719,22,4,0,33,Ley Hill CC - 1st XI,54824,Watton-at-Stone CC - 1st XI,159131,1,6803484,0.0,M Lee
2,Tom Underwood,5534201,b,,,Craig Ottaway,5499462,20,3,0,29,Flitwick CC - 3rd XI,20669,Ley Hill CC - 1st XI,54824,1,6803476,0.0,T Underwood
3,Divyansh Gurbani,6198845,b,,,James Lagdon,4576697,18,3,0,32,West Herts CC - 6th XI,302557,Ley Hill CC - 2nd XI,119465,1,6804671,0.0,D Gurbani
1,Raheel Khan,5402781,ct,Mark Schumann,15786,Richard Peareth,5335234,17,3,0,18,Ley Hill CC - 1st XI,54824,Ickleford CC - 2nd XI,58647,1,6803474,0.0,R Khan
3,E Patel,6660032,b,,,Geoffrey Sussum,4951380,17,1,0,19,Goodwill Wanderers CC - Friendly XI,192284,Ley Hill CC - Sunday 1st XI,216373,2,7074455,0.0,E Patel
1,Robert Timms,41182,ct,Yusuf Khan,4940735,Craig Ottaway,5499462,17,2,0,42,Flitwick CC - 3rd XI,20669,Ley Hill CC - 1st XI,54824,1,6803476,0.0,R Timms
2,Abhay Joshi,5480463,lbw,,,Sam Martin,4976658,16,0,0,0,"Northwood Town CC, Middlesex - 4th XI",277347,Ley Hill CC - 2nd XI,119465,2,6804656,0.0,A Joshi
4,Warren Davies,5167053,b,,,Mohamed Asran Ameen,5104857,16,3,0,16,Ley Hill CC - 2nd XI,119465,West Herts CC - 6th XI,302557,2,6804671,0.0,W Davies
2,Yusuf Khan,4940735,b,,,Adam Gundy,5900485,16,1,1,23,Ley Hill CC - 1st XI,54824,Watton-at-Stone CC - 1st XI,159131,1,6803484,0.0,Y Khan
6,Simon Atkins,5805057,ct,Geoffrey Sussum,4951380,Jamie Valentine,4524064,16,3,0,37,Berkhamsted CC - Saturday 4th XI,76555,Ley Hill CC - 2nd XI,119465,1,6804661,0.0,S Atkins
2,Wayne Davies,4446838,b,,,Dhaval Shah,6210157,15,0,0,0,Ley Hill CC - 2nd XI,119465,"Northwood Town CC, Middlesex - 4th XI",277347,1,6804656,0.0,W Davies
